id,name,address,phone,whatsapp,hours,levels,infrastructure,activities,capacity
sede,Batista Campos,"Batista Campos, Belém — PA",(91) 3323-5000,,Seg-Sex: entrada 07:30 com 30 min de tolerância,"Maternal, Jardim I e II, Fundamental 1, Fundamental 2, Ensino Médio, Pré-Enem (Eixo)","Quadra coberta, ginásio, campo, piscina, laboratórios, biblioteca, auditório, refeitório, parquinho, brinquedoteca, sala de robótica/maker, sala de música/artes","Cursos específicos, Escolinhas de Esporte, NAE a partir de 2027",A confirmar
augusto-montenegro,Augusto Montenegro,"Rod. Augusto Montenegro, 130 — Parque Verde, Belém",(91) 3120-3188,,Seg-Sex: entrada 07:30 com 30 min de tolerância,"Maternal, Jardim I e II, Fundamental 1, Fundamental 2, Ensino Médio, Pré-Enem (Eixo)","Quadra coberta, ginásio, campo, piscina, laboratórios, biblioteca, auditório, refeitório, parquinho, brinquedoteca, sala de robótica/maker, sala de música/artes","Cursos específicos, Escolinhas de Esporte, NAE a partir de 2027",A confirmar
cidade-nova,Cidade Nova (Ananindeua),"Conj. Cidade Nova II, Av. SN-3 esq. WE-21, 3277 — Ananindeua",(91) 3346-0011,,Seg-Sex: entrada 07:30 com 30 min de tolerância,"Maternal, Jardim I e II, Fundamental 1, Fundamental 2, Ensino Médio, Pré-Enem (Eixo)","Quadra coberta, ginásio, campo, piscina, laboratórios, biblioteca, auditório, refeitório, parquinho, brinquedoteca, sala de robótica/maker, sala de música/artes","Cursos específicos, Escolinhas de Esporte, NAE a partir de 2027",A confirmar
